Gender,Statistics,Political Science,Psychology
Male,78504.5554,62612.77513,73313.27719
Male,76268.90888,68325.06469,69595.75443
Male,66657.85452,56104.7408,71163.32964
Male,78026.35568,60966.44954,67648.77603
Male,83485.21734,55322.53904,69036.39269
Male,70941.46996,70799.20562,71981.3602
Male,71752.44449,61994.36504,66776.49571
Male,69551.76668,59629.34695,67306.72387
Male,74773.13226,62113.20749,67783.51333
Male,82245.83681,66194.42994,64641.75837
Male,75745.71526,59747.32504,68031.52802
Male,76813.67264,67324.74888,66263.32034
Male,80794.22031,62633.90084,66804.69654
Male,80810.78479,59333.61994,71901.93657
Male,83562.40575,60182.61835,74186.58492
Male,86083.98479,63669.61014,66583.46072
Male,71101.23998,59055.83149,65945.50163
Male,84664.49459,64397.13578,62478.6058
Male,80979.39811,66246.08235,79220.0001
Male,82104.15657,53666.51888,80134.02204
Female,71267.15692,52472.16021,73405.79473
Female,79020.49238,48200.11152,65626.77029
Female,75969.32514,60562.26239,71353.63041
Female,69558.83657,48181.16026,67957.1519
Female,68770.2729,56007.93498,68532.03375
Female,76742.17042,56366.4296,78057.17307
Female,79533.52978,55461.7697,61936.28178
Female,73508.88294,50789.84074,61966.83461
Female,80486.90984,46596.91836,63787.81302
Female,77844.21961,63388.90458,70322.47035
Female,73180.39573,59036.74597,59088.73888
Female,76673.97563,59009.4592,61797.7252
Female,73111.4637,50096.9306,66156.11205
Female,67881.89804,53542.09445,70015.36333
Female,78968.61187,58358.32612,58653.49485
Female,75787.57613,58183.74311,62475.94497
Female,72730.70793,55866.24333,70659.17465
Female,69942.79318,57824.97224,73898.34254
Female,66857.05645,53457.98067,66799.27866
Female,73657.55965,60431.17106,61406.22404
